"InputCategories","UserDefinedCategories","CorrectedPvalues"
"turquoise","NT_green","4.1466513397291e-181"
"cyan","NT_darkgreen","8.58357567345732e-77"
"lightcyan1","NT_thistle2","1.32666093392757e-48"
"steelblue","NT_royalblue","1.09449660254581e-47"
"grey60","NT_ivory","2.13151384055658e-34"
"grey60","NT_brown4","3.171513126326e-33"
"salmon","NT_brown","1.17520234366261e-32"
"lightcyan1","NT_darkorange2","3.52760471156538e-29"
"brown","NT_brown","9.20504299679333e-26"
"salmon","NT_turquoise","2.77154999843845e-25"
"mediumpurple1","NT_darkgreen","1.68642265512592e-24"
"brown","NT_turquoise","1.82446984641933e-24"
"pink4","NT_salmon","3.0416551329612e-22"
"thistle1","NT_honeydew1","4.49009541367227e-20"
"firebrick3","NT_salmon","1.30067964561269e-18"
"grey60","NT_lightpink4","1.42793145365404e-17"
"palevioletred3","NT_grey60","2.73156249425633e-16"
"grey","NT_grey","2.83468470121998e-16"
"pink","NT_pink","1.2780599981929e-13"
"turquoise","NT_lightpink4","1.6913551673665e-13"
"navajowhite1","NT_yellow","2.89417763354802e-13"
"green","NT_midnightblue","2.93518396423864e-13"
"lightslateblue","NT_salmon","4.07668920287696e-10"
"palevioletred3","NT_yellow","4.08775894316892e-10"
"thistle3","NT_lightyellow","6.86174602901074e-10"
"blue4","NT_brown","7.20434811226519e-10"
"thistle1","NT_darkred","7.46637933365309e-10"
"honeydew1","NT_tan","6.20516478841292e-09"
"magenta","NT_salmon","8.75203956943029e-09"
"coral3","NT_turquoise","9.7776670423867e-09"
"pink","NT_black","1.12162565054068e-08"
"brown","NT_greenyellow","4.15070260152386e-08"
"brown2","NT_turquoise","4.24464868834185e-08"
"thistle1","NT_yellow4","6.84523425085838e-08"
"pink","NT_darkgrey","2.18320182622943e-07"
"magenta","NT_navajowhite2","2.76143731801443e-07"
"brown4","NT_grey","4.1649798132007e-07"
"honeydew","NT_antiquewhite4","7.30478569536858e-07"
